0.png	\int _ { - \epsilon } ^ \infty d l \: { \rm e } ^ { - l \zeta } \int _ { - \epsilon } ^ \infty d l ' { \rm e } ^ { - l ' \zeta } l l ' { l ' - l \over l + l ' } \{ 3 \, \delta ' ' ( l ) - { 3 \over 4 } t \, \delta ( l ) \} = 0 .
2624.png	S = \int d ^ 3 x \left [ \frac { 1 } { 4 } F _ { i j } F _ { i j } + \frac { 1 } { 2 } ( D _ i \Phi ) ^ { \dagger } ( D _ i \Phi ) + V ( \Phi ) + { \cal L } _ { \rm g . f . } + { \cal L } _ { \rm g h } + { \cal L } _ { \rm c . t . } \right ] ,
2627.png	{ \hat \Phi } ( { \tilde x } ) = \sum _ i \left [ { \hat a } _ i \, u _ i ( { \tilde x } ) + { \hat b } _ { i } ^ { \dag } \, v _ { i } ( { \tilde x } ) \right ] ,
2663.png	q ^ { ( 0 ) } _ { \mu \nu } d x ^ { \mu } d x ^ { \nu } = - \epsilon N ^ 2 d y ^ { 0 } d y ^ { 0 } + r ^ 2 \Omega _ { i j } d y ^ i d y ^ j ,
2701.png	F _ { \mu \nu } ^ { s i n g } = ( [ \partial _ \mu , \partial _ \nu ] \Omega ^ { \dag } ) \Omega \; .
2704.png	\eta ^ { ( 3 ) } _ i \ = ( \xi - a _ { l _ 1 } l ) ^ { 1 / 2 } ( \xi - a _ { l _ 2 } ) ^ { 1 / 2 } p _ { k - 1 } ( \xi ) \ , \quad l _ 1 \ne l _ 2 ; i \ne l _ { 1 , 2 } ; i , l _ { 1 , 2 } = 1 , 2 , 3
2712.png	
2724.png	\do _ { \tau } X ^ { \mu } \do _ { \sigma } X ^ { \nu } G _ { \mu \nu } = 0
2745.png	\begin {array} { l } \displaystyle { I = e ^ { - S _ 0 / a } \left . \int _ { - \infty } ^ \infty \sqrt { a \over 2 \pi } \ d y \exp \! \! \left [ - { S ^ { ( 2 ) } _ 0 \over 2 } y ^ 2 - \sqrt { a } \ { S ^ { ( 3 ) } _ 0 \over 3 ! } y ^ 3 - a { S ^ { ( 4 ) } _ 0 \over 4 ! } y ^ 4 - \cdots \right ] \right | _ { a = 1 } } \\ \noalign { \vspace { 1 e x } } \displaystyle { \hspace { 2 e x } \cong \left . e ^ { - S _ 0 / a } \sqrt { a \over 2 \pi } \int _ { - \infty } ^ \infty d y \ e ^ { - S ^ { ( 2 ) } _ 0 y ^ 2 / 2 } \left ( 1 - a \left \{ { S ^ { ( 4 ) } _ 0 \over 4 ! } \ y ^ 4 - { { S ^ { ( 3 ) } _ 0 } ^ 2 \over 2 ( 3 ! ) ^ 2 } \ y ^ 6 \right \} + O ( a ^ 2 ) \right ) \right | _ { a = 1 } \ , } \end {array}
2759.png	{ \{ } \lambda { \} } \downarrow \sum _ { \sigma \vdash | \lambda | } { \{ } \sigma { \} } \times { \{ } \sigma \circ \lambda { \} } .
2818.png	{ A \sp \prime _ { j j + 1 } \over A _ { j j + 1 } } - G _ { j j + 1 } = \lambda .
2845.png	{ \hat J } ^ 0 = e ^ { - 2 \L } ( J ^ 0 - i D \L \Psi ^ 0 ) + e ^ { - \L - { 1 \over 2 } D \L \Psi ^ - } \partial e ^ { - \L } - e ^ { - 2 \L } \partial e ^ { - { 1 \over 2 } D \L \Psi ^ - } + e ^ { - 2 \L - D \L \Psi ^ - } g ^ + ( Z ) .
2847.png	g ^ \ddag = \left ( \begin {array} { c c c } 1 + { 1 \over 4 } \eta \eta ^ \diamond & { 1 \over 2 } ( b \eta ^ \diamond + a ^ \diamond \eta ) & - { 1 \over 2 } ( a \eta ^ \diamond - b ^ \diamond \eta \\ { 1 \over 2 } \eta ^ \diamond & a ^ \diamond ( 1 - { 1 \over 8 } \eta \eta ^ \diamond ) & b ^ \diamond ( 1 - { 1 \over 8 } \eta \eta ^ \diamond ) \\ { 1 \over 2 } \eta & - b ( 1 - { 1 \over 8 } \eta \eta ^ \diamond ) & a ( 1 - { 1 \over 8 } \eta \eta ^ \diamond ) \end {array} \right )
2850.png	\tilde \phi S ^ { \mu } _ { \hspace { . 3 t r u e c m } \alpha \beta } = 8 \pi \Sigma ^ { \mu } _ { \hspace { . 3 t r u e c m } \alpha \beta } + \frac { 1 } { 2 } ( \delta ^ { \mu } _ { \alpha } \tilde \phi _ { , \beta } - \delta ^ { \mu } _ { \beta } \tilde \phi _ { , \alpha } ) ,
2928.png	{ \left . { \d [ c ( r , t ) - | v ( r , t ) | ] \over \d r } \right | _ H \gg { \dot c _ H \over c _ H } } .
2983.png	C ^ { ( 0 ) } _ { \mu \mu _ 1 \ldots \mu _ n } ( x , y _ 1 , \ldots , y _ n ) = \int ( 2 \pi ) ^ 4 \d ( k + \sum p _ i ) C ^ { ( 0 ) } _ { \mu \mu _ 1 \ldots \mu _ n } ( p _ 1 , \ldots , p _ n ) e ^ { i k \cdot x } e ^ { i \sum p _ i \cdot y _ i } \, ,
2990.png	\mathcal { M } ( k ^ { 2 } ) = \Pi ^ { ( 2 ) } ( k ^ { 2 } ) \left ( 1 - \frac { \Pi ^ { ( 1 ) } ( k ^ { 2 } ) } { k ^ { 2 } } \right ) ^ { - 1 } \, .
2991.png	{ \cal L } = \frac { m ^ 2 } { 2 \lambda } \left ( ( \partial _ \mu \phi ) ( \partial ^ \mu \phi ) - U ( \phi ) ^ 2 + i \bar \Psi \slash \hspace { - 0 . 5 e m } \partial \Psi - U ^ \prime ( \phi ) \bar \Psi \Psi \right )
3039.png	H _ { 0 } ^ { g } = \int _ { 0 } ^ { \infty } d p \, p \, [ { \bar d } ^ { \dag } ( p ) d ( p ) + d ^ { \dag } ( p ) \bar d ( p ) ] ,
3085.png	g _ { m n } ( t ) ~ = ~ e ^ { i t H } g _ { m n } e ^ { - i t H } .
3086.png	\bar \Psi \hat F \Psi + \frac 1 2 \bar \chi \hat F \chi + \bar \eta \hat F \eta
3198.png	{ \cal J } ^ { \pm } g ( \lambda ^ { \ast } ) ^ { \dag } { \cal J } ^ { \pm } = g ( \lambda ) ^ { - 1 }
3218.png	g _ { i j } ( x , t ) = h _ { i j } ( x ) e ^ { 2 \lambda ( x , t ) } = \frac { \cosh ^ { 2 } t } { 2 \Lambda } \frac { \partial \phi _ { \xi } ^ { k } ( x ) } { \partial x ^ { i } } \frac { \partial \phi _ { \xi } ^ { l } ( x ) } { \partial x ^ { j } } h _ { k l } \left ( \phi _ { \xi } ( x ) \right ) ,
3325.png	r _ \xi \delta _ \xi = a _ 0 ^ { 1 8 } a _ 1 ^ { 8 } a _ 2 ^ { 6 } a _ 3 ^ { 8 } a _ 4 ^ { 1 0 } a _ 5 ^ { 1 2 } a _ 6 ^ { 1 2 } a _ 7 ^ { 6 } a _ 8 ^ { 6 } a _ 9 ^ { 4 } .
3372.png	\frac { A _ g ( H ) } { H } \sp H ( \textup { p e r m u t a t i o n } ) \subset S _ N \ .
3376.png	k = { u _ i \over 2 } \, \Big [ \, { { \cal E } + \sqrt { { \cal E } ^ 2 + \mu _ i ^ 2 } \over K + \sqrt { K ^ 2 + \mu _ i ^ 2 } } - { K + \sqrt { K ^ 2 + \mu _ i ^ 2 } \over { \cal E } + \sqrt { { \cal E } ^ 2 + \mu _ i ^ 2 } } \, \Big ] \, ,
3384.png	{ \cal L } = \overline { \psi } \left ( i \partial \! \! \! \slash - e A \! \! \! \slash - m \right ) \psi - \frac { 1 } { 4 } F _ { \mu \nu } F ^ { \mu \nu } ,
3421.png	S _ { \rm N A } = \int d ^ { 4 } x \left [ - { 1 \over 4 } { F _ { \mu \nu } } ^ { a } F ^ { \mu \nu a } + { 1 \over 1 2 } \hat { H } _ { \mu \nu \rho } \raisebox { 0 . 9 8 e x } { \mbox { \scriptsize { a } } } \hat { H } ^ { \mu \nu \rho a } - { 1 \over 4 } m ^ { 2 } \hat { B } _ { \mu \nu } \raisebox { 0 . 9 8 e x } { \mbox { \scriptsize { a } } } \hat { B } ^ { \mu \nu a } \right ] \, ,
3427.png	\sum _ { A , I , E } x ^ { I A } \, f _ { A B C } \, f _ { E B C } \, x _ I ^ E = ( x ^ I , x _ I ) _ K
3445.png	\lambda _ { ( 0 ) \alpha } ^ A = \frac { 1 } { 2 } { \overline F } _ { \mu \nu } \sigma _ \alpha ^ { \mu \nu \, \beta } \frac { 1 } { \sqrt { \rho _ 0 } } \left ( \rho _ 0 \eta _ \beta ^ A + ( x - x _ 0 ) _ \mu \sigma ^ \mu _ { \beta { \dot \beta } } { \overline \xi } ^ { \dot \beta A } \right ) \, .
3508.png	( A B ) _ X = ( ( a \circ X ) ( X ^ T \circ b ) ) _ X \, = a \circ b
3512.png	A _ { S T } = 4 \left [ ( \hat R _ { 0 } - \hat R _ { \zeta } ) \hat \mu + \frac { 1 } { 2 } ( \zeta - \zeta _ { 0 } ) \Delta _ { \zeta } \hat \mu \right ]
3533.png	T ^ 0 ( n ) = 2 \cos { n { \phi } } \hspace * { 2 c m } H = - \partial ^ 2 _ { \phi } .
3536.png	\mathcal { H } _ { \lambda , \mu } = \mathcal { V } _ \lambda ^ \mu \otimes \bar \mathcal { V } _ { \lambda ^ * } ^ { \mu ^ * } ,
3552.png	\begin {tabular} { | c | c | c | c | c | } \hline 1 & 0 & \cdots & 0 & 0 \\ \hline \end {tabular} = \begin {tabular} { | c | c | c | c | c | } \hline 0 & 0 & \cdots & 0 & 1 \\ \hline \end {tabular} \, .
3662.png	\left ( \begin {array} { l } f ^ { q } _ \pm \\ f ^ { - q } _ \pm \end {array} \right ) = ( \tau ^ q _ \pm ) ^ { - 1 } \tilde { F }
3663.png	
3671.png	{ H _ { e f f } } = \sum _ { \beta \in { \cal S } } | \Phi _ { \beta } \rangle E _ { \beta } \langle \tilde { \Phi } _ { \beta } | ,
3707.png	\hat { G } ^ { ( \alpha \beta ) } ( x , y ) = - i \langle \hat { T } \left ( \hat { \phi } ^ { ( \alpha ) } ( x ) \; \displaystyle { \raisebox { 0 . 9 e x } { \scriptsize { t } } } \mbox { \hspace { - 0 . 1 e x } } \hat { \phi } ^ { ( \beta ) } ( y ) \right ) \rangle ,
3724.png	L = \frac { 1 } { 2 } ( \pi _ { \alpha } - \pi _ { \mu } A ^ { \mu } _ { \alpha } ) g ^ { \alpha \beta } ( \pi ^ { \dag } _ { \beta } - A ^ { \mu } _ { \beta } \pi ^ { \dag } _ { \beta } ) + \frac { 1 } { 2 } \pi _ { \mu } g ^ { \mu \nu } \pi ^ { \dag } _ { \nu } \, .
3727.png	\hat \Phi \equiv \left ( \begin {array} { c } \hat \phi ^ + ( x ) \\ \frac 1 { \sqrt 2 } ( \hat H ( x ) + i \hat \chi ( x ) ) \end {array} \right ) \qquad \tilde { \hat \Phi } \equiv i \tau _ 2 { \hat \Phi } ^ * = \left ( \begin {array} { c } \frac 1 { \sqrt 2 } ( \hat H ( x ) - i \hat \chi ( x ) ) \\ - \hat \phi ^ - ( x ) \end {array} \right ) \/ .
3754.png	U ( \psi , \theta , \phi ) = \left ( \begin {array} { c c c } \cos \psi & \sin \psi & 0 \\ - \sin \psi & \cos \psi & 0 \\ 0 & 0 & 1 \end {array} \right ) \left ( \begin {array} { c c c } 1 & 0 & 0 \\ 0 & \cos \theta & \sin \theta \\ 0 & - \sin \theta & \cos \theta \end {array} \right ) \left ( \begin {array} { c c c } \cos \phi & \sin \phi & 0 \\ - \sin \phi & \cos \phi & 0 \\ 0 & 0 & 1 \end {array} \right ) \ \ \ ,
3777.png	Q _ 0 ^ 2 = \frac { 1 } { 2 } \{ Q _ 0 , Q _ 0 \} = 0 \ , Q _ 0 = \frac { 1 } { 2 \pi i } \oint \gamma ^ 2 b \
3791.png	Z _ { \Phi } = z _ { \Phi } - \frac { 1 1 g ^ 2 } { 1 2 \pi ^ 2 } \ln \lambda \
3852.png	
3861.png	\partial _ \xi \partial _ \eta \Psi + \sin \Psi = 0 .
3866.png	\mu _ 5 = \cos \theta \mu \sp \mu _ 2 = - \sin \theta \mu \sp Q _ 5 = \cos \theta Q \sp Q _ 2 = - \sin \theta Q
3880.png	{ \cal L } _ { 0 } = - { \cal S } { \cal T } _ { 0 } { \cal S } ^ { - 1 } , \; \; \; { \cal L } _ { \pm } = ( 2 \omega ) ^ { \pm 1 } { \cal S } { \cal T } _ { \mp } { \cal S } ^ { - 1 } ,
3881.png	C V _ { N - 1 } ^ { r s } = C V _ N ^ { r s } + { C V ^ { r N } _ N C V _ N ^ { N s } \o 1 - C V _ N ^ { 1 1 } } ,
3948.png	\begin {array} { l } { \mathcal { L } } ^ { ( \! 1 \! ) } \! ( { \mathcal { B } } ) = \frac { { \mathcal { B } } } { 8 \pi ^ { 2 } } { \displaystyle \int _ { 0 } ^ { \infty } } \frac { d s } { s ^ { 2 } } \, e ^ { - i m ^ { 2 } s } \cot ( { \mathcal { B } } s ) \\ * [ 0 . 3 c m ] \hspace * { 1 . 2 5 c m } = ( { \mathcal { B } } \! - \! i n d e p e n d e n t \ c o n s t . ) - \frac { 1 } { 2 4 \pi ^ { 2 } } { \displaystyle \int _ { 0 } ^ { \infty } } \frac { d s } { s } \, e ^ { - i m ^ { 2 } s } { \mathcal { B } } ^ { 2 } \\ * [ 0 . 3 c m ] \hspace * { 1 . 7 c m } + \left \{ \frac { 1 } { 8 \pi ^ { 2 } } { \displaystyle \int _ { 0 } ^ { \infty } } \frac { d s } { s ^ { 3 } } \, e ^ { - i m ^ { 2 } s } \left [ { \mathcal { B } } s \cot ( { \mathcal { B } } s ) - 1 + \frac { 1 } { 3 } ( { \mathcal { B } } s ) ^ { 2 } \right ] \right \} \ . \end {array}
3949.png	\alpha = \beta + \gamma - 2 \sqrt { \beta \gamma } \cos \theta
3952.png	\phi = \phi ( k _ { 1 } , k _ { 2 } , p , \omega \tau ) , \quad k _ { 1 } + k _ { 2 } = p + \omega \tau \ .
3976.png	S _ K \left ( \parbox { 2 . 3 c m } { \begin {picture} ( 6 0 , 6 0 ) \put ( 2 0 , 3 0 ) { \circle { 1 4 } } \put ( 4 0 , 1 0 ) { \circle { 1 4 } } \put ( 4 0 , 5 0 ) { \circle { 1 4 } } \put ( 0 , 3 0 ) { \line ( 1 , 0 ) { 1 3 } } \put ( 4 7 , 5 0 ) { \line ( 1 , 0 ) { 1 3 } } \put ( 4 7 , 1 0 ) { \line ( 1 , 0 ) { 1 3 } } \put ( 2 5 , 3 5 ) { \line ( 1 , 1 ) { 1 0 } } \put ( 2 5 , 2 5 ) { \line ( 1 , - 1 ) { 1 0 } } \put ( 4 0 , 1 7 ) { \line ( 0 , 1 ) { 2 6 . 5 } } \end {picture} } + \ \ldots \right ) = - K \left ( \parbox { 2 . 3 c m } { \begin {picture} ( 6 0 , 6 0 ) \put ( 2 0 , 3 0 ) { \circle { 1 4 } } \put ( 4 0 , 1 0 ) { \circle { 1 4 } } \put ( 4 0 , 5 0 ) { \circle { 1 4 } } \put ( 0 , 3 0 ) { \line ( 1 , 0 ) { 1 3 } } \put ( 4 7 , 5 0 ) { \line ( 1 , 0 ) { 1 3 } } \put ( 4 7 , 1 0 ) { \line ( 1 , 0 ) { 1 3 } } \put ( 2 5 , 3 5 ) { \line ( 1 , 1 ) { 1 0 } } \put ( 2 5 , 2 5 ) { \line ( 1 , - 1 ) { 1 0 } } \put ( 4 0 , 1 7 ) { \line ( 0 , 1 ) { 2 6 . 5 } } \put ( 1 6 . 7 , 2 6 ) { R } \put ( 3 6 . 7 , 6 ) { R } \put ( 3 6 . 7 , 4 6 ) { R } \end {picture} } + \ \ldots \right ) \ .
3980.png	( J , S , J ' ) \ \longrightarrow \ \bigoplus _ { L } \ { N _ { J \, J ' } } ^ { L } \ ( L , S , 0 ) \ \
3994.png	\partial ^ \mu \vec { \tilde F } _ \mu ( x ) = \sum _ a { \vec m } _ a \delta ^ 3 ( x - x _ a ) \ \ \ \ \, \
4021.png	S = - \int d ^ 4 x e { \overline { \Psi } } _ { L } i { { D \kern - 0 . 1 5 e m \raise 0 . 1 7 e x \llap { / } \kern 0 . 1 5 e m \relax } } P _ L \Psi _ { L } ,
4045.png	E _ { \rm b } = \sqrt { \gamma \sp 2 + 1 6 } - 4 \; ,
4046.png	\left \{ \begin {array} { c c c l l } A ^ { I } _ \mu & \null & \null & ( \mathbf { I } = 1 , \dots , n _ V ) & \mbox { v e c t o r s } \\ \null & \lambda ^ i _ A & \phi ^ i & ( i = 1 , \dots , n _ V + n _ T \equiv n ) & ( A = 1 , 2 ) \\ B ^ \mathcal { M } _ { \mu \nu } & \null & \null & ( \mathcal { M } = 1 , \dots , n _ T ) & \mbox { t e n s o r s } \ \end {array} \right \}
4079.png	z _ { m } = ( x _ { \mu } , \theta _ { \alpha } ^ { i } , { \overline \theta } _ { \dot \alpha } ^ { j } , \zeta _ { r } ) \, .
4114.png	\hat { c } = \hat { x } \textup { d i m } g ( \sum _ { r = 0 } ^ { \lambda - 1 } l _ r ) , \hspace { . 2 i n } \hat { \Delta } _ 0 = \hat { x } \textup { d i m } g \sum _ { r = 0 } ^ { \lambda - 1 } l _ r \frac { r ( \lambda - r ) } { 4 \lambda ^ 2 }
4136.png	F D _ 3 i n X . p i c \unitlength = 1 m m \begin {picture} ( 5 0 , 3 0 ) \put ( 0 , 0 ) { \line ( 1 , 0 ) { 5 0 } } \put ( 5 0 , 3 0 ) { \line ( - 1 , 0 ) { 5 0 } } \put ( 1 0 , 3 0 ) { \line ( 0 , - 1 ) { 3 0 } } \put ( 4 1 , 0 ) { \line ( 0 , 1 ) { 3 0 } } \put ( 1 6 , 3 0 ) { \line ( 0 , - 1 ) { 3 0 } } \put ( 3 , 2 0 ) { \makebox ( 0 , 0 ) [ c c ] { X } } \put ( 1 9 , 6 ) { \makebox ( 0 , 0 ) [ c c ] { \gamma } } \put ( 2 8 . 5 0 , 3 0 ) { \oval ( 1 3 , 2 4 ) [ b ] } \put ( 2 9 , 2 4 ) { \makebox ( 0 , 0 ) [ c c ] { F } } \put ( 2 6 , 1 3 ) { \makebox ( 0 , 0 ) [ c c ] { h ( D _ 3 ) } } \end {picture}
4140.png	D \; = \; \left ( \begin {array} { c c c c } 0 & U _ p & 0 & - 1 \\ - U _ p ^ \dagger & 0 & - 1 & 0 \\ 0 & 1 & 0 & 1 \\ 1 & 0 & - 1 & 0 \\ \end {array} \right ) ,
4210.png	\psi ( q , t ) = \int ^ { \infty } _ { - \infty } { 1 \over \sqrt { 2 \pi i t } } e ^ { i { ( q - Q ) ^ 2 \over 2 t } } \phi ( Q ) d Q .
4218.png	{ \cal L } _ 2 = - \partial _ m H ^ { \dag } _ { i j } \partial ^ m H ^ { j i } + \mu ^ 2 H ^ { \dag } _ { i j } H ^ { j i } \ ,
4364.png	{ \d S \over { \d e ^ { \pm \pm } } } = 0 ~ \Rightarrow ~ E ^ { \mp \mp } \equiv \Pi ^ { \underline { m } } u _ { \underline { m } } ^ { \mp \mp } = e ^ { \mp \mp }
4378.png	\Theta _ { k } = \int d \vec { x } \psi _ { 1 } ^ { \dag } ( \vec { x } , t ) \theta _ { k } ( \vec { x } ) \psi _ { 1 } ( \vec { x } , t ) , k = 1 , \ldots , n ,
4383.png	
4386.png	\Phi _ k \, \colon \, { \cal H \/ } _ k \stackrel { \simeq } { \longrightarrow } H ^ k ( R ( S ) ) \, .
4404.png	\protect \langle \sum _ { i , j } \delta _ { { \cal { C } } _ i , { \cal { C } } _ j } \rangle ( \mu ) Z ( \mu ) = \sum _ { N = 1 } ^ { \infty } N { \cal { S } } _ N Z _ N \exp ( - \mu N ) .
4447.png	W _ { \alpha } ( x , \theta , { \overline \theta } ) = - \frac { 1 } { 4 } { \overline D } { \overline D } D _ { \alpha } V ( x , \theta , { \overline \theta } )
4457.png	\phi ( t , x ) \, { \buildrel t = T / 2 \to \infty \over { \hbox t o 6 0 p t { \rightarrowfill } } } \, \phi _ 2 ( x ) ,
4482.png	- \frac { 2 g \beta ( g ) } { g ^ 2 } Y _ i a _ 1 L ^ 2 f _ 0 ( W _ { 1 L } , g ^ 2 )
4492.png	
4494.png	{ \mathcal { C } } _ { \mathrm { I } } = \int _ { \Sigma _ p } \, \phi ^ \mu \, d y ^ { \mu _ 2 } \wedge \dots \wedge d y ^ { \mu _ { p + 1 } } = 0 \quad \Longrightarrow \quad \phi ^ \mu ( \, \vec s \, ) = 0 ,
4516.png	( P ^ { \mp \pm } _ { \mu \nu } ) ^ \dag = P ^ { \pm \mp } _ { \nu \mu } , ( P ^ { \pm \pm } _ { \mu \nu } ) ^ \dag = P ^ { \pm \pm } _ { \nu \mu } , \mu \neq \nu
4551.png	0 = \partial _ p \partial _ q \left ( { R _ \sigma ^ { \ \sigma } - R _ \tau ^ { \ \tau } \over p + q } \right ) = { 1 \over 2 } \left [ Q ' ' ' ( q ) - P ' ' ' ( p ) \right ]
4604.png	( Y ( s , s _ 0 ) ) ^ \dag = ( Y ( s , s _ 0 ) ) ^ { - 1 } = : Y ^ { - 1 } ( s , s _ 0 ) .
4624.png	< \! 0 | \chi ^ m | 0 \! > = \left \{ \begin {array} { l l } ( m - 1 ) ! ! \: X ^ { m / 2 } & \mbox { m e v e n } \\ 0 & \mbox { m o d d } \end {array} \right . ,
4634.png	{ \cal L } = \frac { 1 } { 2 } ( \partial _ \mu \phi ) ^ 2 + \frac { 1 } { 2 } ( \partial _ \mu \xi ) ^ 2 + m _ 0 \mu \cos \beta \phi
4659.png	\left \{ \begin {array} { l } a _ { i } = \lambda _ { i } c _ { i } + \mu _ { i } d _ { i } , \\ \vspace { - 2 m m } \\ b _ { i } = \nu _ { i } c _ { i } + \eta _ { i } d _ { i } \end {array} \right . , \qquad i = 1 , 2 .
4674.png	\begin {array} { l r } - \displaystyle \sum _ { i = 1 } ^ N \frac { \partial ^ 2 } { \partial x _ { i } ^ 2 } \Psi = \{ - 2 \lambda \sum _ { \scriptstyle j < i } [ \varphi ' ( x _ { i } - x _ { j } ) + \lambda \varphi ^ 2 ( x _ { i } - x _ { j } ) ] & \\ \hspace { 2 . 7 t r u e c m } + 2 \lambda ^ 2 \sum _ { \scriptstyle i , j , k } [ \varphi ( x _ { k } - x _ { i } ) \varphi ( x _ { i } - x _ { j } ) + \varphi ( x _ { i } - x _ { j } ) \varphi ( x _ { j } - x _ { k } ) \\ \hspace { 2 . 7 t r u e c m } + \varphi ( x _ { j } - x _ { k } ) \varphi ( x _ { k } - x _ { i } ) ] \} \Psi . & \\ \end {array}
4676.png	\frac { ( 1 - \cos q ) } { 2 \sigma } = \frac { 1 } { \sigma } \sin ^ 2 \left ( \frac { q } { 2 } \right )
4810.png	[ \Phi _ 1 \Phi _ 2 , E ] = [ \Phi _ 1 , E ] \Phi _ 2 + \Phi _ 1 [ \Phi _ 2 , E ]
4860.png	
4873.png	\psi ^ { ( + ) } \stackrel { r \sim \infty } { \rightarrow } { { \Gamma ( c ) \Gamma ( b - a ) } \over { \Gamma ( b ) \Gamma ( c - a ) } } e ^ { ( - Q r ) } + { { \Gamma ( c ) \Gamma ( a - b ) } \over { \Gamma ( a ) \Gamma ( c - b ) } } e ^ { ( + Q r ) }
4906.png	\textbf { Z } ( \mathcal { M } ' ) = \{ m _ { 0 , 2 } \, , \, m _ { 0 , 5 } \}
4907.png	{ \cal L } = \bar \psi ( i \partial \! \! \! \slash - m - g \phi ) \psi + \frac { 1 } { 2 } \partial _ \mu \phi \partial ^ \mu \phi \; ,
4925.png	- N { \partial V \over \partial N } = g T _ 3 + 2 \psi - T _ 2 U - c T _ { A B } + g { \alpha ^ 3 \over 3 } + ( U + 2 c ) { \alpha ^ 2 \over 2 } + \makebox { t r } \ln ( ( U + g \alpha ) \delta _ 0 + c \delta _ 1 + g \Phi )
5121.png	{ 2 \o 3 } + \psi _ 1 \chi _ 1 e ^ { \b ( 2 \varphi _ 2 - \varphi _ 1 ) } + \psi _ 2 \chi _ 2 e ^ { \b ( \varphi _ 1 + \varphi _ 2 ) }
5127.png	
5140.png	\L _ { \xi } g _ { a b } = \xi _ { a ; b } + \xi _ { b ; a } = 2 g _ { a b }
5163.png	\nonumber
5202.png	\langle \O | Q _ 2 \bar Q _ { \dot 2 } | \O \rangle = 0
5209.png	D ( \alpha ) = e x p [ \alpha a ^ { \dag } - \alpha ^ { * } a ] .
5261.png	
5332.png	X = v \left ( \begin {array} { c c c c } 1 & & & \\ & 1 & & \\ & & \ddots & \\ & & & 1 \end {array} \right ) , \qquad \bar { X } = 0 .
5336.png	
5339.png	{ \cal M } ^ { ( 4 + 6 + 4 | 4 ) } = \{ q ^ { { \cal M } } \} \equiv \{ ( Y ^ M ; \l ^ A , \bar { \l } ^ { \dot { A } } ) \} = \{ ( x ^ { A \dot { A } } , z ^ { A B } , \bar { z } ^ { \dot { A } \dot { B } } ; \l ^ A , \bar { \l } ^ { \dot { A } } ; \Theta ^ { A } , \bar { \Theta } ^ { \dot { A } } ) \} ,
5366.png	{ \bf f } ( x ) = { \cal U } \Psi ( x ) \; , \; \; \; \; { \cal U } = \frac { \hat { \omega } + \mbox { \boldmath \gamma } { \bf \hat p } } { \hat { \omega } \sqrt { 2 } } \; , \; \; \; { \cal U } ^ { \dag } { \cal U } = 1 \; .
5409.png	\sum _ { \i = 1 } ^ \infty \dots b \underbrace { a \dots a } _ i b \dots = \dots b A b \dots \ ,
5457.png	
5472.png	\left [ \, \partial _ \mu \, \partial ^ \mu + { V _ p \over ( p + 1 ) ! } \, { \partial ^ 2 \over \partial \sigma _ { \mu _ 1 \dots \mu _ { p + 1 } } \, \partial \sigma ^ { \mu _ 1 \dots \mu _ { p + 1 } } } - ( p + 1 ) \, M _ 0 ^ 2 \, \right ] \, G \left ( \, x - x _ 0 \ , \sigma \, \right ) = \delta ^ D \left ( \, x - x _ 0 \, \right ) \, \delta \left ( \, \sigma \, \right ) \ .
5490.png	\frac { d } { d \theta } Y ( \theta ) = \frac { X ( \theta ) Y ( \theta ) } { \theta } \ . \
5507.png	\psi ( x + 1 , y ) = e ^ { i B y } \psi ( x , y ) , \qquad \psi ( x , y + 1 ) = \psi ( x , y )
5517.png	
5546.png	+ \det ( \L _ 1 ) \det ( \L _ 2 ) ( z _ 1 - z _ 2 ) ^ 2 + \det ( \L _ 1 ) + \det ( \L _ 2 ) + T r ( \L _ 1 \L _ 2 ) .
5577.png	
5604.png	\frac { \partial } { \partial r } \chi = - e \sp { - u } \chi
5700.png	( j _ \mu , X ) ~ = ~ - \, { 1 \over \lambda ^ 2 } \, g _ { i j } ( \varphi ) \, \partial _ \mu \varphi ^ i \, X _ G ^ j ( \varphi ) ~ ~ ~ , \vspace { - 2 m m }
5716.png	x _ { \alpha \dot { \alpha } } = x _ { m } \sigma ^ { m } _ { \alpha \dot { \alpha } } = \left ( \! \begin {array} { c c } x _ { 4 } + i x _ { 3 } & x _ { 2 } + i x _ { 1 } \\ - x _ { 2 } + i x _ { 1 } & x _ { 4 } - i x _ { 3 } \end {array} \! \right ) = \left ( \! \begin {array} { c c } z _ { 1 } & z _ { 2 } \\ - \bar { z } _ { 2 } & \bar { z } _ { 1 } \end {array} \! \right ) ,
5722.png	
5741.png	
5757.png	
5779.png	- \frac { 2 \beta ( g ) } { g } \frac { b _ j L } { 2 m } f ^ 2 X _ b f _ 0 ( W _ { 1 L } , \ldots , W { n L } , g ^ 2 )
5821.png	\hat { H } \ = \ \frac 1 2 \sum _ { j } \omega _ { j } ( \hat { a } ^ { \dag } _ j \hat { a } _ j \ + \ \hat { a } _ j \hat { a } ^ { \dag } _ j ) \ .
5834.png	[ \bar \epsilon Q \ , \bar Q \epsilon ' ] ^ * = \bar \epsilon ( / { \hspace { - 0 . 2 7 c m } { \bf P } } + \Gamma ^ { 1 1 } Z ) { / { \hspace { - 0 . 2 7 c m } { \bf P } } \over 2 { \bf P } ^ 2 } ( / { \hspace { - 0 . 2 7 c m } { \bf P } } + \Gamma ^ { 1 1 } Z ) \epsilon ' =
